Comment,Designator,Footprint,LCSC
GRM21BR61E106KA73L,"C2, C8, C12, C24",10uF_cap_GRM21BR61E106KA73L:CAPC2012X140N,C84416
GCM155R71C104KA55J,"C1,C3,C6,C9,C13,C14,C15,C17,C18,C19,C20,C22,C23,C26,C28,C30",100nf_cap_GCM155R71C104KA55J:CAPC1005X55N,C2655418
GRM31CR71A226KE15L,C4,22uF_cap_GRM31CR71A226KE15L:CAPC3216X180N,C91604
GCM188R71C334KA37D,C5,330nF_cap_GCM188R71C334KA37D:CAPC1608X90N,C144384
GJM1555C1H3R3BB01D,"C7, C10",3p3_RF_cap_GJM1555C1H3R3BB01D:CAPC1005X55N,C76906
GRM155B31A474KE14D,C16,470nF_cap_GRM155B31A474KE14D:INDC1005X45,C527993
UWT1H101MNL1GS,C21,100uF_cap_UWT1H101MNL1GS:PCAP_8X10-ELECT,C445063
CL10B103KB8NNNC,"C11, C25",10nF_cap_CL10B103KB8NNNC:CAPC1608X90N,C1589
GCM1885C1H222JA16D,C29,2200pF_cap_GCM1885C1H222JA16D:CAPC1608X90N,C343869
CL05C100JB5NNNC,"C27, C31",10pF_cap_CL05C100JB5NNNC:CAPC1005X55N,C32949
BAT20JFILM,"D1, D2",diode_BAT20JFILM:SOD-323,C155590
SMD-LED-CLEAR-BLUE(0603),D3,Blue_LED_SMD-LED-CLEAR-BLUE_0603:LED-0603,C72041
19-213/R6C-AP1Q2B/3T,D4,Red_LED_19-213R6C-AP1Q2B3T:LED_19-213_R6C-AP1Q2B_3T,C128051
19-213SYGC/S530-E2/TR8,D5,Yellow_Green_LED_19-213SYGCS530-E2TR8:CAPC0603X39N,C409444
L78L05ABUTR,IC1,LDO_L78L05ABUTR_5V:L78L05ABUTR,C42738
Conn_01x02_Female,J1,Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal,C157931
USB_C_Receptacle_USB2.0,J2,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
Conn_01x02_Female,"J4,J5,J6,J8,J9",Connector_JST:JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752
Conn_01x04_Female,J10,Connector_JST:JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,C157925
Jumper_2_Open,JP1-JP4,solder_jumpers:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
LQW15AN2N2G80D,"L1, L2",2n2_RF_inductor_LQW15AN2N2G80D:INDC1006X60N,C412264
RC0402FR-07120RL,R4,120R_RC0402FR-07120RL:RESC1005X40N,C114758
ERJ3EKF4700V,"R5,R17,R18,R19,R20",470R_ERJ3EKF4700V:RES_ERJ3EKF4700V,C169259
TC33X-2-103E,R11,10k_pot_TC33X-2-103E:TRIM_TC33X-2-103E,C719176
RL1206JR-070R2L,"R12, R13",200mR_RL1206JR-070R2L:RESC3116X65N,C327155
RC0402FR-075K1L,"R2,R3,R6,R10,R14,R15,R16,R22,R23,R27",5.1kR_RC0402FR-075K1L:RESC1005X40N,C105872
ERJ3EKF1004V,R21,1MR_ERJ3EKF1004V:RES_ERJ3EKF1004V,C193390
AC0402FR-0722RL,R24,22R_AC0402FR-0722RL:RESC1005X37N,C226359
TS-1187A-B-A-B,"S1, S2",Tact_switch_TS-1187A-B-A-B:SW_TS-1187A-B-A-B,C318884
TestPoint,TP1,TestPoint:TestPoint_Pad_2.0x2.0mm,
"TJA1051T/CM,118",U1,CAN_tranceiver_TJA1050T_CM_118:SOIC127P600X175-8N,C2859133
AMS1117-3.3,U2,LDO_AMS1117-3v3:SOT229P700X180-4N,C6186
USBLC6-2SC6,U3,Package_TO_SOT_SMD:SOT-23-6,C7519
DRV8825PWPR,U4,stepper_driver_DRV8825.pretty:IC_TPS61196PWPRQ1,C81582
ESP32-C3FH4,U6,ESP32-C3FH4:QFN50P500X500X90-33N,C2858491
MPU-6050,U7,Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm, C24112 
40MHz 9pF ±10ppm SMD3225-4P,Y1,crystal_footprints:Crystal_SMD_SeikoEpson_TSX3225-4Pin_3.2x2.5mm,C255943
