Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
AE1,Antenna_Loop,2.4GHz-INVERTED-F-ANTENNA,15.7,-40.795,180,top
C1,GCM155R71C104KA55J,CAPC1005X55N,38.9025,-27.3,180,top
C2,GRM21BR61E106KA73L,CAPC2012X140N,10.605,-17.5,0,top
C3,GCM155R71C104KA55J,CAPC1005X55N,35.2,-27.4,180,top
C4,GRM31CR71A226KE15L,CAPC3216X180N,12.63,-20.76,0,top
C5,GCM188R71C334KA37D,CAPC1608X90N,34.63,-20.1,0,top
C6,GCM155R71C104KA55J,CAPC1005X55N,21.332,-16.218,90,top
C7,GJM1555C1H3R3BB01D,CAPC1005X55N,21.862,-35.28,180,top
C8,GRM21BR61E106KA73L,CAPC2012X140N,26.195,-20.5,0,top
C9,GCM155R71C104KA55J,CAPC1005X55N,24.39,-22.86,180,top
C10,GJM1555C1H3R3BB01D,CAPC1005X55N,21.86,-31.59,180,top
C11,CL10B103KB8NNNC,CAPC1608X90N,34.3,-16.4,0,top
C12,GRM21BR61E106KA73L,CAPC2012X140N,16.4,-31.6,-90,top
C13,GCM155R71C104KA55J,CAPC1005X55N,38.818,-40.9,0,top
C14,GCM155R71C104KA55J,CAPC1005X55N,18.958,-29.9,180,top
C15,GCM155R71C104KA55J,CAPC1005X55N,18.958,-28.52,180,top
C16,GRM155B31A474KE14D,INDC1005X45,26.7,-3.8,0,top
C17,GCM155R71C104KA55J,CAPC1005X55N,37.1,-13,-90,top
C18,GCM155R71C104KA55J,CAPC1005X55N,26.568,-23.3,0,top
C19,GCM155R71C104KA55J,CAPC1005X55N,35.6,-6.268,90,top
C20,GCM155R71C104KA55J,CAPC1005X55N,39.2,-13,-90,top
C21,UWT1H101MNL1GS,PCAP_8X10-ELECT,42.3,-21.2,-90,top
C22,GCM155R71C104KA55J,CAPC1005X55N,24.74,-33.09,0,top
C23,GCM155R71C104KA55J,CAPC1005X55N,24.732,-36.5,0,top
C24,GRM21BR61E106KA73L,CAPC2012X140N,27.5,-35.605,90,top
C25,CL10B103KB8NNNC,CAPC1608X90N,39.625,-46.52,-90,top
C26,GCM155R71C104KA55J,CAPC1005X55N,35.018,-41.2,180,top
C27,CL05C100JB5NNNC,CAPC1005X55N,15.93,-22.89,135,top
C28,GCM155R71C104KA55J,CAPC1005X55N,39.15,-44.2,0,top
C29,GCM1885C1H222JA16D,CAPC1608X90N,31.7,-42.83,90,top
C30,GCM155R71C104KA55J,CAPC1005X55N,45.7,-39.1,0,top
C31,CL05C100JB5NNNC,CAPC1005X55N,15.32,-28.47,-135,top
D1,BAT20JFILM,SOD-323,12.2,-14.45,90,top
D2,BAT20JFILM,SOD-323,10.4,-14.45,90,top
